"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","2712","","TestSuite","","org.example.ConstructorTest","","userCanGoToConstructorWithConstructorButton on userCanGoToConstructorWithConstructorButton(org.example.ConstructorTest)",""
"passed","","","1939","","TestSuite","","org.example.RegistrationTest","","userWithShortPasswordCantBeRegistered on userWithShortPasswordCantBeRegistered(org.example.RegistrationTest)",""
"passed","","","1962","","TestSuite","","org.example.LoginTest","","userCanLoginWithEnterAccountButtonOnRegistrationPage on userCanLoginWithEnterAccountButtonOnRegistrationPage(org.example.LoginTest)",""
"passed","","","1549","","TestSuite","","org.example.ConstructorTest","","userCanGoToSauces on userCanGoToSauces(org.example.ConstructorTest)",""
"passed","","","1739","","TestSuite","","org.example.ProfileTest","","loginPageDisplayedAfterProfileClick on loginPageDisplayedAfterProfileClick(org.example.ProfileTest)",""
"passed","","","2466","","TestSuite","","org.example.ConstructorTest","","userCanGoToConstructorWithLogoButton on userCanGoToConstructorWithLogoButton(org.example.ConstructorTest)",""
"passed","","","1211","","TestSuite","","org.example.LoginTest","","userCanLoginWithProfileButtonInHeader on userCanLoginWithProfileButtonInHeader(org.example.LoginTest)",""
"passed","","","2380","","TestSuite","","org.example.RegistrationTest","","userCanBeRegistered on userCanBeRegistered(org.example.RegistrationTest)",""
"failed","","","6308","","TestSuite","","org.example.ProfileTest","","profilePageDisplayedAfterProfileClick on profilePageDisplayedAfterProfileClick(org.example.ProfileTest)",""
"passed","","","2568","","TestSuite","","org.example.LoginTest","","userCanLoginWithEnterAccountButtonOnPasswordRestorationPage on userCanLoginWithEnterAccountButtonOnPasswordRestorationPage(org.example.LoginTest)",""
"passed","","","2552","","TestSuite","","org.example.LogoutTest","","userCanLogout on userCanLogout(org.example.LogoutTest)",""
"passed","","","2030","","TestSuite","","org.example.LoginTest","","userCanLoginWithEnterAccountButton on userCanLoginWithEnterAccountButton(org.example.LoginTest)",""
"passed","","","1476","","TestSuite","","org.example.ConstructorTest","","userCanGoToToppings on userCanGoToToppings(org.example.ConstructorTest)",""
"passed","","","6283","","TestSuite","","org.example.ConstructorTest","","userCanGoToBuns on userCanGoToBuns(org.example.ConstructorTest)",""
